Difficulty,Trial,Solver,Time(ms),Steps,NodesExpanded,MemoryUsed(bytes),Seed,BoardState
16,5,Greedy Best-First Search,13,10,24,27559192,1746611423035,"[1, 2, 3, 4, 5, 6, 11, 7, 13, 9, 0, 8, 14, 15, 10, 12]"
16,5,A* Search,15,10,32,27900704,1746611423035,"[1, 2, 3, 4, 5, 6, 11, 7, 13, 9, 0, 8, 14, 15, 10, 12]"
17,1,Greedy Best-First Search,12,21,88,27989512,1746611423069,"[5, 1, 4, 8, 2, 7, 3, 11, 9, 6, 14, 15, 13, 10, 0, 12]"
17,1,A* Search,12,17,53,28592720,1746611423069,"[5, 1, 4, 8, 2, 7, 3, 11, 9, 6, 14, 15, 13, 10, 0, 12]"
17,2,Greedy Best-First Search,13,27,762,28478264,1746611423098,"[1, 3, 4, 8, 6, 2, 10, 7, 5, 14, 11, 0, 9, 13, 15, 12]"
17,2,A* Search,12,15,60,27560504,1746611423098,"[1, 3, 4, 8, 6, 2, 10, 7, 5, 14, 11, 0, 9, 13, 15, 12]"
17,3,Greedy Best-First Search,15,63,3312,30193392,1746611423127,"[2, 4, 3, 8, 1, 5, 11, 7, 9, 6, 10, 0, 13, 14, 15, 12]"
17,3,A* Search,12,17,335,27804152,1746611423127,"[2, 4, 3, 8, 1, 5, 11, 7, 9, 6, 10, 0, 13, 14, 15, 12]"
17,4,Greedy Best-First Search,25,59,1199,29438400,1746611423159,"[1, 2, 3, 4, 0, 5, 6, 8, 13, 14, 9, 11, 15, 10, 7, 12]"
17,4,A* Search,25,17,165,28465904,1746611423159,"[1, 2, 3, 4, 0, 5, 6, 8, 13, 14, 9, 11, 15, 10, 7, 12]"
17,5,Greedy Best-First Search,25,25,181,28468888,1746611423214,"[1, 3, 4, 8, 0, 5, 2, 6, 9, 14, 7, 12, 10, 13, 11, 15]"
17,5,A* Search,24,17,136,28486392,1746611423214,"[1, 3, 4, 8, 0, 5, 2, 6, 9, 14, 7, 12, 10, 13, 11, 15]"
18,1,Greedy Best-First Search,25,14,35,28332176,1746611423268,"[1, 3, 4, 8, 6, 2, 10, 7, 5, 9, 12, 15, 13, 14, 11, 0]"
18,1,A* Search,23,14,35,28224928,1746611423268,"[1, 3, 4, 8, 6, 2, 10, 7, 5, 9, 12, 15, 13, 14, 11, 0]"
18,2,Greedy Best-First Search,25,26,351,28736176,1746611423320,"[1, 6, 2, 3, 5, 10, 11, 8, 0, 9, 7, 4, 13, 14, 15, 12]"
